name,type,start_time,duration,"register","addr","data","waits","pkey"
"BitLocker Key Extractor","pkey",4.2543397,0.20071726,,,,,"d075f1a23c95d90110000000c521edc85cdc7957b435d7a6caec925f111ec5551d3f359638d69650cec464cdee188ca61bcaf44b1b8e2eef5d382ba8c67cfee8d9b9825b6c21f7d7"
"TPM SPI","read",4.2543397,1.582e-06,"TPM_ACCESS_0","d40000","81",0x0000000000000001,
"TPM SPI","write",4.25434266,1.58e-06,"TPM_ACCESS_0","d40000","02",0x0000000000000001,
"TPM SPI","read",4.25450207,1.596e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",4.25450496,1.58e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",4.25450791,1.57e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",4.25467028,1.588e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",4.2546732,1.57e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","write",4.25467615,1.6e-06,"TPM_STS_0","d40018","40",0x0000000000000001,
"TPM SPI","read",4.25483555,1.584e-06,"TPM_STS_0","d40018","c4",0x0000000000000001,
"TPM SPI","read",4.25483848,1.578e-06,"TPM_ACCESS_0","d40000","a1",0x0000000000000001,
"TPM SPI","read",4.25500084,1.852e-06,"TPM_STS_0","d40019","4000",0x0000000000000001,
"TPM SPI","write",4.25500408,1.568e-06,"TPM_DATA_FIFO_0","d40024","80",0x0000000000000001,
"TPM SPI","write",4.25500595,1.582e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","write",4.25500784,1.612e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.25500976,1.56e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.25501162,1.594e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.25501353,1.602e-06,"TPM_DATA_FIFO_0","d40024","0e",0x0000000000000001,
"TPM SPI","write",4.25501544,1.562e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.2550173,1.602e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.25501922,1.58e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","write",4.2550211,1.57e-06,"TPM_DATA_FIFO_0","d40024","73",0x0000000000000001,
"TPM SPI","write",4.25502298,1.612e-06,"TPM_DATA_FIFO_0","d40024","81",0x0000000000000001,
"TPM SPI","write",4.2550249,1.562e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","write",4.25502677,1.582e-06,"TPM_DATA_FIFO_0","d40024","00",0x0000000000000001,
"TPM SPI","read",4.25516353,1.594e-06,"TPM_STS_0","d40018","8c",0x0000000000000001,
"TPM SPI","read",4.25516642,1.582e-06,"TPM_STS_0","d40018","8c",0x0000000000000001,
"TPM SPI","write",4.2551694,1.572e-06,"TPM_DATA_FIFO_0","d40024","01",0x0000000000000001,
"TPM SPI","read",4.2553288,1.604e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","read",4.25533172,1.588e-06,"TPM_STS_0","d40018","84",0x0000000000000001,
"TPM SPI","write",4.2553347,1.57e-06,"TPM_STS_0","d40018","20",0x0000000000000001,
"TPM SPI","read",4.25549406,1.596e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",4.25565639,1.568e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",4.25581872,1.61e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
"TPM SPI","read",4.25598107,1.564e-06,"TPM_STS_0","d40018","04",0x0000000000000001,
